地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,4605.00,4608.00,4794.68,5149.00,5416.00,5044.61,4356.68,4459.13,4580.00,4026.30
天津市,3298.11,2992.10,2591.28,2226.41,1755.53,1419.51,1182.64,1001.39,779.00,625.90
河北省,501.91,534.19,585.78,544.94,447.65,350.71,307.81,273.95,309.00,243.10
山西省,297.10,280.73,822.68,720.24,567.19,464.60,377.94,300.65,222.00,164.20
内蒙古自治区,962.49,1002.96,962.29,771.96,670.97,601.90,558.31,577.19,545.00,403.70
辽宁省,1636.50,1618.00,3477.14,3263.69,2713.14,2259.33,1856.21,1526.18,1228.00,934.30
吉林省,724.14,583.90,552.37,494.77,385.28,304.92,242.94,211.44,179.00,137.20
黑龙江省,395.33,563.56,604.36,835.48,917.62,762.50,638.68,869.95,643.00,492.00
上海市,5860.44,5601.85,5244.70,5493.23,5751.18,6340.92,4744.02,4971.72,4673.00,3903.90
江苏省,3527.29,3032.71,2379.89,6299.72,5652.97,4783.43,4016.01,3880.20,3469.00,2786.64
浙江省,6788.47,5753.48,5392.93,5151.74,4541.73,3930.20,3223.58,3024.08,2708.00,2132.70
安徽省,2262.87,1840.26,1660.42,1562.67,1179.18,708.98,565.84,454.45,344.00,226.73
福建省,5561.40,4911.80,4573.38,4225.67,3634.44,2978.24,2599.23,2393.53,2169.00,1471.10
江西省,567.00,556.87,525.08,484.73,415.00,346.03,289.75,251.70,196.00,139.61
山东省,2896.48,2330.10,2731.20,2923.65,2550.76,2155.04,1765.30,1391.10,1352.00,1014.05
河南省,623.60,538.37,659.98,611.41,549.03,498.77,433.03,374.44,318.00,273.76
湖北省,1671.90,1238.51,1218.92,1202.97,940.18,751.16,510.20,442.55,413.00,320.00
湖南省,857.72,799.99,822.69,928.36,1014.34,906.22,672.70,617.42,642.00,503.36
广东省,17884.66,17106.36,16278.07,15610.67,13906.19,12382.61,10028.13,9174.98,8706.00,7532.79
广西壮族自治区,1916.86,1572.07,1547.30,1278.87,1051.88,806.15,643.34,601.66,577.00,423.12
海南省,248.52,268.63,337.48,348.02,376.15,322.36,276.66,313.88,302.00,229.12
重庆市,1468.57,1354.44,1268.31,1168.32,968.06,703.20,537.21,449.78,382.00,308.72
四川省,1180.87,857.68,764.76,798.15,593.83,354.09,288.56,153.88,512.00,395.23
贵州省,231.33,188.80,201.43,168.94,135.07,129.58,110.44,116.97,129.00,115.16
云南省,2875.50,2420.65,2418.18,1947.08,1608.61,1323.65,1172.21,1007.55,860.00,658.44
西藏自治区,176.66,144.69,127.86,105.70,129.63,103.59,78.73,31.12,135.00,60.94
陕西省,2000.22,1768.73,1676.19,1597.47,1295.05,1015.96,771.07,660.11,612.00,510.87
甘肃省,14.18,10.17,20.39,22.35,17.40,14.81,12.54,16.03,70.00,62.93
青海省,38.76,24.74,19.42,24.32,26.59,20.45,15.42,10.15,16.00,13.25
宁夏回族自治区,20.84,18.48,12.08,5.45,6.20,5.99,4.43,3.01,3.00,2.43
新疆维吾尔自治区,555.89,497.04,585.02,550.57,465.19,185.42,136.63,135.78,162.00,128.00
