地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,4723.86,4027.16,3661.11,3314.93,3006.28,2353.93,2026.81,1837.32,1492.64,1117.15
天津市,2667.11,2390.35,2079.07,1760.02,1455.13,1068.81,821.99,675.62,540.44,417.05
河北省,2649.18,2446.62,2295.62,2084.28,1737.77,1331.85,1067.12,947.59,789.12,620.53
山西省,1642.35,1820.64,1701.62,1516.38,1213.43,969.67,805.83,748.00,597.89,583.38
内蒙古自治区,1964.48,1843.67,1720.98,1552.75,1356.67,1069.98,850.86,650.68,492.36,343.38
辽宁省,2127.39,3192.78,3343.81,3105.38,2643.15,2004.84,1591.22,1356.08,1082.69,817.67
吉林省,1229.35,1203.38,1156.96,1041.25,850.10,602.41,487.09,422.80,320.69,245.20
黑龙江省,1165.88,1301.31,1277.40,1163.17,997.55,755.58,641.66,578.28,440.47,386.84
上海市,5519.50,4585.55,4109.51,3743.71,3429.83,2873.58,2540.30,2358.75,2074.48,1576.07
江苏省,8028.59,7233.14,6568.46,5860.69,5148.91,4079.86,3228.78,2731.41,2237.73,1656.68
浙江省,4809.94,4122.02,3796.92,3441.23,3150.80,2608.47,2142.51,1933.39,1649.50,1298.20
安徽省,2454.30,2218.44,2075.08,1792.72,1463.56,1149.40,863.92,724.62,543.70,428.03
福建省,2544.24,2362.21,2119.45,1776.17,1501.51,1151.49,932.43,833.40,699.46,541.17
江西省,2165.74,1881.83,1621.24,1371.99,1053.43,778.09,581.30,488.65,389.85,305.52
山东省,5529.33,5026.83,4559.95,4059.43,3455.93,2749.38,2198.63,1957.05,1675.40,1356.25
河南省,3016.05,2739.26,2415.45,2040.33,1721.76,1381.32,1126.06,1008.90,862.08,679.17
湖北省,3005.53,2566.90,2191.22,1823.05,1526.91,1011.23,814.87,710.85,590.36,476.08
湖南省,2515.43,2262.79,2030.88,1782.16,1517.07,1081.69,847.62,722.71,606.55,477.93
广东省,9366.78,8065.08,7081.47,6229.18,5514.84,4517.04,3649.81,3310.32,2785.80,2179.46
广西壮族自治区,1515.16,1422.28,1317.60,1166.06,947.72,771.99,620.99,518.42,418.83,342.58
海南省,627.70,555.31,481.01,409.44,340.12,270.99,178.24,144.86,108.29,81.81
重庆市,2154.83,1922.02,1693.24,1703.49,1488.33,952.07,655.17,577.57,442.70,317.72
四川省,3355.44,3061.07,2784.10,2421.27,2044.79,1561.67,1174.59,1041.66,850.86,607.59
贵州省,1503.38,1366.67,1206.41,1014.05,773.08,533.73,416.48,347.84,285.14,226.82
云南省,1808.10,1698.06,1611.30,1338.15,1111.16,871.19,698.25,614.05,486.71,379.97
西藏自治区,137.13,124.27,95.02,86.58,54.76,36.65,30.09,24.88,20.14,14.56
陕西省,2059.95,1890.40,1748.33,1600.69,1500.18,958.21,735.27,591.48,475.24,362.48
甘肃省,743.86,672.67,607.27,520.40,450.12,353.58,286.59,264.97,190.91,141.22
青海省,267.13,251.68,223.86,186.42,151.81,110.22,87.74,71.57,56.71,42.24
宁夏回族自治区,373.40,339.86,308.34,263.96,219.98,153.55,111.58,95.01,80.03,61.36
新疆维吾尔自治区,1330.90,1282.34,1128.49,908.97,720.43,500.58,388.78,361.06,285.86,219.46
